Experiment Log: GoogLeNet with BN
Epoch: 1, train_loss=11.334418, valid_loss=11.104193
Epoch: 2, train_loss=11.121767, valid_loss=10.540384
Epoch: 3, train_loss=10.597875, valid_loss=9.799829
Epoch: 4, train_loss=9.891231, valid_loss=8.916209
Epoch: 5, train_loss=8.977948, valid_loss=7.892697
Epoch: 6, train_loss=7.914751, valid_loss=6.747151
Epoch: 7, train_loss=6.776450, valid_loss=5.523057
Epoch: 8, train_loss=5.492408, valid_loss=4.369392
Epoch: 9, train_loss=4.499662, valid_loss=3.562064
Epoch: 10, train_loss=nan, valid_loss=nan
Epoch: 11, train_loss=nan, valid_loss=nan
Epoch: 12, train_loss=nan, valid_loss=nan
Epoch: 13, train_loss=nan, valid_loss=nan
Epoch: 14, train_loss=nan, valid_loss=nan
Epoch: 15, train_loss=nan, valid_loss=nan
Epoch: 16, train_loss=nan, valid_loss=nan
Epoch: 17, train_loss=nan, valid_loss=nan
Epoch: 18, train_loss=nan, valid_loss=nan
Epoch: 19, train_loss=nan, valid_loss=nan
Epoch: 20, train_loss=nan, valid_loss=nan
Epoch: 21, train_loss=nan, valid_loss=nan
Epoch: 22, train_loss=nan, valid_loss=nan
Epoch: 23, train_loss=nan, valid_loss=nan
Epoch: 24, train_loss=nan, valid_loss=nan
Epoch: 25, train_loss=nan, valid_loss=nan
Epoch: 26, train_loss=nan, valid_loss=nan
